snapshot_ts,store_id,product_id,on_hand,on_order,safety_stock,reorder_qty
2025-08-16T06:00:00,1,1,34,0,5,0
2025-08-16T06:00:00,1,2,22,0,7,0
2025-08-16T06:00:00,1,3,42,0,6,0
2025-08-16T06:00:00,1,4,22,0,5,0
2025-08-16T06:00:00,1,5,70,0,21,0
2025-08-16T06:00:00,1,6,32,0,11,0
2025-08-16T06:00:00,1,7,65,0,22,0
2025-08-16T06:00:00,1,8,57,0,13,0
2025-08-16T06:00:00,1,9,36,0,5,0
2025-08-16T06:00:00,1,10,55,0,15,0
2025-08-16T06:00:00,1,11,28,0,5,0
2025-08-16T06:00:00,1,12,54,0,9,0
2025-08-16T06:00:00,1,13,32,0,7,0
2025-08-16T06:00:00,1,14,17,0,5,0
2025-08-16T06:00:00,1,15,38,0,10,0
2025-08-16T06:00:00,1,16,57,0,12,0
2025-08-16T06:00:00,1,17,45,0,13,0
2025-08-16T06:00:00,1,18,9,0,5,0
2025-08-16T06:00:00,1,19,45,0,9,0
2025-08-16T06:00:00,1,20,48,0,12,0
2025-08-16T06:00:00,1,21,49,0,11,0
2025-08-16T06:00:00,1,22,6,0,5,0
2025-08-16T06:00:00,1,23,30,0,9,0
2025-08-16T06:00:00,1,24,36,0,5,0
2025-08-16T06:00:00,1,25,57,0,9,0
2025-08-16T06:00:00,1,26,68,0,12,0
2025-08-16T06:00:00,1,27,63,0,14,0
2025-08-16T06:00:00,1,28,41,0,11,0
2025-08-16T06:00:00,1,29,39,0,13,0
2025-08-16T06:00:00,1,30,40,0,12,0
2025-08-16T06:00:00,1,31,31,0,7,0
2025-08-16T06:00:00,1,32,44,0,6,0
2025-08-16T06:00:00,1,33,36,0,10,0
2025-08-16T06:00:00,1,34,36,0,7,0
2025-08-16T06:00:00,1,35,30,0,5,0
2025-08-16T06:00:00,1,36,37,0,6,0
2025-08-16T06:00:00,1,37,38,0,6,0
2025-08-16T06:00:00,1,38,41,0,10,0
2025-08-16T06:00:00,1,39,32,0,6,0
2025-08-16T06:00:00,1,40,28,0,8,0
2025-08-16T06:00:00,1,41,49,0,11,0
2025-08-16T06:00:00,1,42,25,0,5,0
2025-08-16T06:00:00,1,43,36,0,5,0
2025-08-16T06:00:00,1,44,26,0,6,0
2025-08-16T06:00:00,1,45,25,0,5,0
2025-08-16T06:00:00,1,46,47,0,9,0
2025-08-16T06:00:00,1,47,71,0,21,0
2025-08-16T06:00:00,1,48,36,0,10,0
2025-08-16T06:00:00,1,49,38,0,13,0
2025-08-16T06:00:00,1,50,63,0,21,0
2025-08-16T06:00:00,1,51,30,0,9,0
2025-08-16T06:00:00,1,52,47,0,14,0
2025-08-16T06:00:00,1,53,18,0,5,0
2025-08-16T06:00:00,1,54,44,0,14,0
2025-08-16T06:00:00,1,55,19,0,5,0
2025-08-16T06:00:00,1,56,50,0,9,0
2025-08-16T06:00:00,1,57,37,0,6,0
2025-08-16T06:00:00,1,58,55,0,11,0
2025-08-16T06:00:00,1,59,0,41,5,29
2025-08-16T06:00:00,1,60,59,0,16,0
2025-08-16T06:00:00,1,61,37,0,12,0
2025-08-16T06:00:00,1,62,49,0,9,0
2025-08-16T06:00:00,1,63,40,0,9,0
2025-08-16T06:00:00,1,64,34,0,7,0
2025-08-16T06:00:00,1,65,45,0,10,0
2025-08-16T06:00:00,1,66,23,0,6,0
2025-08-16T06:00:00,1,67,32,0,8,0
2025-08-16T06:00:00,1,68,49,0,11,0
2025-08-16T06:00:00,1,69,23,0,5,0
2025-08-16T06:00:00,1,70,49,0,9,0
2025-08-16T06:00:00,1,71,38,0,5,0
2025-08-16T06:00:00,1,72,34,0,7,0
2025-08-16T06:00:00,1,73,23,0,5,0
2025-08-16T06:00:00,1,74,66,0,11,0
2025-08-16T06:00:00,1,75,42,0,11,0
2025-08-16T06:00:00,1,76,65,0,19,0
2025-08-16T06:00:00,1,77,59,0,9,0
2025-08-16T06:00:00,1,78,50,0,13,0
2025-08-16T06:00:00,1,79,48,0,12,0
2025-08-16T06:00:00,1,80,45,0,9,0
2025-08-16T06:00:00,1,81,28,0,7,0
2025-08-16T06:00:00,1,82,48,0,13,0
2025-08-16T06:00:00,1,83,12,0,5,0
2025-08-16T06:00:00,1,84,56,0,18,0
2025-08-16T06:00:00,1,85,11,0,5,0
2025-08-16T06:00:00,1,86,59,0,13,0
2025-08-16T06:00:00,1,87,33,0,10,0
2025-08-16T06:00:00,1,88,22,0,5,0
2025-08-16T06:00:00,1,89,7,0,5,0
2025-08-16T06:00:00,1,90,49,0,14,0
2025-08-16T06:00:00,1,91,55,0,17,0
2025-08-16T06:00:00,1,92,44,0,6,0
2025-08-16T06:00:00,1,93,13,0,5,0
2025-08-16T06:00:00,1,94,56,0,16,0
2025-08-16T06:00:00,1,95,57,0,11,0
2025-08-16T06:00:00,1,96,29,0,7,0
2025-08-16T06:00:00,1,97,46,0,11,0
2025-08-16T06:00:00,1,98,66,0,21,0
2025-08-16T06:00:00,1,99,56,0,13,0
2025-08-16T06:00:00,1,100,58,0,15,0
2025-08-16T06:00:00,1,101,42,0,10,0
2025-08-16T06:00:00,1,102,41,0,10,0
2025-08-16T06:00:00,1,103,26,0,7,0
2025-08-16T06:00:00,1,104,39,0,9,0
2025-08-16T06:00:00,1,105,29,0,9,0
2025-08-16T06:00:00,1,106,46,0,13,0
2025-08-16T06:00:00,1,107,24,0,7,0
2025-08-16T06:00:00,1,108,41,0,14,0
2025-08-16T06:00:00,1,109,62,0,13,0
2025-08-16T06:00:00,1,110,43,0,13,0
2025-08-16T06:00:00,1,111,60,0,15,0
2025-08-16T06:00:00,1,112,47,0,14,0
2025-08-16T06:00:00,1,113,20,0,5,0
